,Nom_Districte,Nom_Barri,Preu
146,Ciutat Vella,el Raval,849.32
147,Ciutat Vella,el Barri Gòtic,1012.49
148,Ciutat Vella,la Barceloneta,889.24
149,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",970.97
150,Eixample,el Fort Pienc,968.85
151,Eixample,la Sagrada Família,934.89
152,Eixample,la Dreta de l'Eixample,1216.7
153,Eixample,l'Antiga Esquerra de l'Eixample,1136.21
154,Eixample,la Nova Esquerra de l'Eixample,1003.89
155,Eixample,Sant Antoni,970.26
156,Sants-Montjuïc,el Poble Sec,822.04
158,Sants-Montjuïc,la Marina de Port,755.18
159,Sants-Montjuïc,la Font de la Guatlla,871.41
160,Sants-Montjuïc,Hostafrancs,814.55
161,Sants-Montjuïc,la Bordeta,830.32
162,Sants-Montjuïc,Sants - Badal,786.8
163,Sants-Montjuïc,Sants,856.57
164,Les Corts,les Corts,1077.99
165,Les Corts,la Maternitat i Sant Ramon,1013.28
166,Les Corts,Pedralbes,1849.52
167,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",1102.29
168,Sarrià-Sant Gervasi,Sarrià,1443.71
169,Sarrià-Sant Gervasi,les Tres Torres,1746.01
170,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,1322.61
171,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,1374.32
172,Sarrià-Sant Gervasi,el Putxet i el Farró,1021.27
173,Gràcia,Vallcarca i els Penitents,905.82
174,Gràcia,el Coll,756.36
175,Gràcia,la Salut,870.31
176,Gràcia,la Vila de Gràcia,923.39
177,Gràcia,el Camp d'en Grassot i Gràcia Nova,924.81
178,Horta-Guinardó,el Baix Guinardó,839.47
179,Horta-Guinardó,Can Baró,766.82
180,Horta-Guinardó,el Guinardó,797.84
181,Horta-Guinardó,la Font d'en Fargues,876.58
182,Horta-Guinardó,el Carmel,654.77
183,Horta-Guinardó,la Teixonera,705.6
184,Horta-Guinardó,Sant Genís dels Agudells,660.93
185,Horta-Guinardó,Montbau,763.82
186,Horta-Guinardó,la Vall d'Hebron,822.31
188,Horta-Guinardó,Horta,754.53
189,Nou Barris,Vilapicina i la Torre Llobeta,742.82
190,Nou Barris,Porta,712.12
191,Nou Barris,el Turó de la Peira,682.67
193,Nou Barris,la Guineueta,732.86
194,Nou Barris,Canyelles,715.45
195,Nou Barris,les Roquetes,638.14
196,Nou Barris,Verdun,618.91
197,Nou Barris,la Prosperitat,667.72
198,Nou Barris,la Trinitat Nova,584.73
200,Nou Barris,Ciutat Meridiana,514.34
202,Sant Andreu,la Trinitat Vella,597.93
204,Sant Andreu,el Bon Pastor,693.69
205,Sant Andreu,Sant Andreu,777.06
206,Sant Andreu,la Sagrera,783.09
207,Sant Andreu,el Congrés i els Indians,787.78
208,Sant Andreu,Navas,823.74
209,Sant Martí,el Camp de l'Arpa del Clot,827.45
210,Sant Martí,el Clot,815.1
211,Sant Martí,el Parc i la Llacuna del Poblenou,897.67
212,Sant Martí,la Vila Olímpica del Poblenou,1284.3
213,Sant Martí,el Poblenou,1006.81
214,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,818.55
215,Sant Martí,el Besòs i el Maresme,699.06
216,Sant Martí,Provençals del Poblenou,928.02
217,Sant Martí,Sant Martí de Provençals,803.49
218,Sant Martí,la Verneda i la Pau,767.1
